"","ID","Warehouse_block","Mode_of_Shipment","Customer_care_calls","Customer_rating","Cost_of_the_Product","Prior_purchases","Product_importance","Gender","Discount_offered","Weight_in_gms","Reached.on.Time_Y.N"
"1",1,"4","3",4,2,177,3,"1","2",44,1233,1
"2",2,"5","3",4,5,216,2,"1","1",59,3088,1
"3",3,"1","3",2,2,183,4,"1","1",48,3374,1
"4",4,"2","3",3,3,176,4,"2","1",10,1177,1
"5",5,"3","3",2,2,184,3,"2","2",46,2484,1
"6",6,"5","3",3,1,162,3,"2","2",12,1417,1
"7",7,"4","3",3,4,250,3,"1","2",3,2371,1
"8",8,"5","3",4,1,233,2,"1","2",48,2804,1
"9",9,"1","3",3,4,150,3,"1","2",11,1861,1
"10",10,"2","3",3,2,164,3,"2","2",29,1187,1
"11",11,"3","3",3,4,189,2,"2","1",12,2888,1
"12",12,"5","3",4,5,232,3,"2","2",32,3253,1
"13",13,"4","3",3,5,198,3,"2","2",1,3667,1
"14",14,"5","3",4,4,275,3,"3","1",29,2602,1
"15",15,"1","3",4,3,152,3,"1","1",43,1009,1
"16",16,"2","3",4,3,227,3,"1","2",45,2707,1
"17",17,"3","3",3,4,143,2,"2","2",6,1194,1
"18",18,"5","2",5,5,227,3,"2","1",36,3952,1
"19",19,"4","2",5,5,239,3,"3","1",18,2495,1
"20",20,"5","2",4,5,145,3,"2","1",45,1059,1
"21",21,"1","2",3,3,161,2,"2","2",38,1521,1
"22",22,"2","2",3,1,232,4,"2","2",51,2899,1
"23",23,"3","2",2,5,156,2,"1","1",2,1750,1
"24",24,"5","2",4,3,211,3,"3","1",12,3922,1
"25",25,"4","2",4,5,251,2,"2","2",28,3561,1
"26",26,"5","2",3,1,225,4,"1","1",29,3496,1
"27",27,"1","2",4,1,172,3,"3","2",24,1066,1
"28",28,"2","2",5,1,162,3,"2","1",31,1435,1
"29",29,"3","2",2,3,234,4,"1","1",44,3134,1
"30",30,"5","2",5,4,183,2,"1","2",36,3819,1
"31",31,"4","2",3,4,266,2,"2","2",38,2741,1
"32",32,"5","2",5,3,257,2,"1","2",61,3341,1
"33",33,"1","2",3,1,223,3,"1","2",22,3795,1
"34",34,"2","2",4,2,234,3,"2","1",4,3261,1
"35",35,"3","2",4,2,227,4,"2","2",22,2460,1
"36",36,"5","2",5,4,149,3,"2","2",44,1811,1
"37",37,"4","2",3,5,137,4,"3","2",62,1477,1
"38",38,"5","2",2,4,181,6,"2","2",16,3605,1
"39",39,"1","2",5,1,215,4,"1","2",56,3905,1
"40",40,"2","2",4,2,269,5,"1","2",45,2383,1
"41",41,"3","2",5,1,227,2,"1","1",15,3798,1
"42",42,"5","2",5,5,139,4,"2","1",61,1265,1
"43",43,"4","2",3,5,137,2,"2","1",38,1647,1
"44",44,"5","2",3,1,174,2,"1","1",44,1556,1
"45",45,"1","2",3,1,151,2,"1","1",29,1328,1
"46",46,"2","2",5,1,210,3,"1","2",9,2944,1
"47",47,"3","2",3,4,169,4,"2","2",32,1245,1
"48",48,"5","2",5,1,160,2,"1","1",32,1576,1
"49",49,"4","2",5,4,190,2,"2","1",9,3753,1
"50",50,"5","2",5,3,216,3,"1","2",40,2146,1
"51",51,"1","2",4,1,183,3,"1","1",37,2042,1
"52",52,"2","2",4,4,141,3,"1","1",22,1735,1
"53",53,"3","2",4,3,165,3,"1","2",44,1320,1
"54",54,"5","2",2,1,170,3,"1","1",41,1128,1
"55",55,"4","2",4,3,203,3,"3","1",12,3539,1
"56",56,"5","2",2,5,246,5,"1","1",46,2437,1
"57",57,"1","2",3,3,238,3,"1","2",61,3096,1
"58",58,"2","2",3,3,193,3,"2","2",29,3453,1
"59",59,"3","2",5,5,141,3,"3","1",41,1367,1
"60",60,"5","2",4,1,150,3,"3","2",17,1923,1
"61",61,"4","2",3,1,221,3,"1","2",64,2794,1
"62",62,"5","2",3,3,179,3,"2","1",52,1158,1
"63",63,"1","2",5,1,105,6,"2","1",62,1292,1
"64",64,"2","2",3,1,177,3,"2","1",61,1880,1
"65",65,"3","2",4,5,261,2,"3","1",49,3045,1
"66",66,"5","2",3,2,202,3,"1","1",49,2881,1
"67",67,"4","2",3,2,109,3,"2","2",15,1710,1
"68",68,"5","2",3,3,158,3,"1","2",6,1878,1
"69",69,"1","2",4,2,231,4,"2","2",6,2512,1
"70",70,"2","2",3,5,206,3,"2","1",39,2929,1
"71",71,"3","2",5,1,187,4,"3","1",14,3849,1
"72",72,"5","2",5,5,230,2,"1","2",2,2229,1
"73",73,"4","2",5,5,232,3,"2","2",33,2998,1
"74",74,"5","2",4,5,215,3,"2","2",21,3984,1
"75",75,"1","2",6,1,238,6,"1","2",13,2442,1
"76",76,"2","2",4,1,266,3,"1","2",23,3775,1
"77",77,"3","2",2,3,158,2,"2","2",36,1788,1
"78",78,"5","2",3,3,113,3,"1","2",43,1518,1
"79",79,"4","2",3,4,223,3,"1","1",18,3959,1
"80",80,"5","2",3,5,257,2,"2","2",56,3711,1
"81",81,"1","2",3,4,180,2,"2","2",49,1942,1
"82",82,"2","2",2,5,132,3,"1","1",18,1759,1
"83",83,"3","2",4,4,217,3,"3","2",26,2875,1
"84",84,"5","2",5,5,162,3,"3","2",31,1364,1
"85",85,"4","2",4,5,197,2,"2","2",40,2710,1
"86",86,"5","2",3,4,197,3,"2","1",13,2148,1
"87",87,"1","2",4,1,185,2,"1","1",44,2910,1
"88",88,"2","2",6,2,278,3,"2","2",3,2974,1
"89",89,"3","2",3,3,229,3,"1","1",49,2339,1
"90",90,"5","2",4,1,186,4,"2","2",57,3880,1
"91",91,"4","2",5,3,174,6,"3","2",41,1085,1
"92",92,"5","2",5,5,286,3,"1","2",18,3163,1
"93",93,"1","2",4,4,175,2,"2","2",7,1188,1
"94",94,"2","2",3,3,219,3,"2","2",17,3387,1
"95",95,"3","2",4,1,213,4,"3","2",35,2343,1
"96",96,"5","2",2,3,235,3,"1","1",57,2034,1
"97",97,"4","2",3,3,149,2,"2","1",18,1225,1
"98",98,"5","2",4,1,271,2,"2","2",8,2401,1
"99",99,"1","2",3,5,144,4,"2","1",5,1104,1
"100",100,"2","2",4,2,145,2,"2","1",21,1617,1
"101",101,"3","2",5,3,143,2,"2","1",59,1837,1
"102",102,"5","2",5,5,227,4,"1","1",53,2624,1
"103",103,"4","2",2,1,213,3,"1","1",29,2732,1
"104",104,"5","2",5,1,144,4,"1","1",37,1658,1
"105",105,"1","2",3,3,218,3,"1","1",3,2255,1
"106",106,"2","2",4,2,144,3,"2","1",59,1588,1
"107",107,"3","2",3,1,238,3,"1","1",17,2624,1
"108",108,"5","2",4,5,216,3,"3","1",26,2053,1
"109",109,"4","2",4,5,238,3,"3","2",55,3257,1
"110",110,"5","2",4,1,141,3,"2","1",47,1250,1
"111",111,"1","1",3,1,158,2,"1","1",2,1284,1
"112",112,"2","1",4,2,239,3,"1","2",65,3679,1
